 # Stamped by ../../../disorder on  4/09/2023 at 18:43:34
 #../../../disorder -ncall2 10000000 -n3lo -ncall1 1000000 -pdf MSHT20an3lo_as118 -x 0.01 -Qmin 1.64
 # ----------------------------------------------------------
 # Doing DIS @ n3lo  (e^- + p)
 # Inclusively in radiation
 # Including neutral current
 # With γ/Z
 # xmin, xmax:         1.0000000000000000E-002   1.0000000000000000E-002
 # ymin, ymax:         0.0000000000000000        1.0000000000000000
 # Q2min, Q2max:       2.7182818284590455        1015.6800000000001      GeV^2
 # Electron energy:    27.600000000000001      GeV
 # Proton energy:      920.00000000000000      GeV
 # COM energy:         101568.00000000000      GeV^2
 # PDF:             MSHT20an3lo_as118
 # MZ:                 91.187600000000003
 # MW:                 80.397999999999996
 # nf:                         5
 # CA:                 3.0000000000000000
 # CF:                 1.3333333333333333
 # TR:                0.50000000000000000
 # αS(MZ):            0.11800072889105703
 # 1/αEM:              137.00000000000000
 # GF:                 1.1267023651653377E-005
 # sin(θ_W)^2:        0.22264585341299603
 # ----------------------------------------------------------
# dsigma/dlogx index   0
 -.69233136D+01 -.66463811D+01 0.00000000D+00 0.00000000D+00
 -.66463811D+01 -.63694485D+01 0.00000000D+00 0.00000000D+00
 -.63694485D+01 -.60925160D+01 0.00000000D+00 0.00000000D+00
 -.60925160D+01 -.58155834D+01 0.00000000D+00 0.00000000D+00
 -.58155834D+01 -.55386509D+01 0.00000000D+00 0.00000000D+00
 -.55386509D+01 -.52617183D+01 0.00000000D+00 0.00000000D+00
 -.52617183D+01 -.49847858D+01 0.00000000D+00 0.00000000D+00
 -.49847858D+01 -.47078533D+01 0.00000000D+00 0.00000000D+00
 -.47078533D+01 -.44309207D+01 0.18069036D+08 0.62553962D+03
 -.44309207D+01 -.41539882D+01 0.00000000D+00 0.00000000D+00
 -.41539882D+01 -.38770556D+01 0.00000000D+00 0.00000000D+00
 -.38770556D+01 -.36001231D+01 0.00000000D+00 0.00000000D+00
 -.36001231D+01 -.33231905D+01 0.00000000D+00 0.00000000D+00
 -.33231905D+01 -.30462580D+01 0.00000000D+00 0.00000000D+00
 -.30462580D+01 -.27693254D+01 0.00000000D+00 0.00000000D+00
 -.27693254D+01 -.24923929D+01 0.00000000D+00 0.00000000D+00
 -.24923929D+01 -.22154604D+01 0.00000000D+00 0.00000000D+00
 -.22154604D+01 -.19385278D+01 0.00000000D+00 0.00000000D+00
